Provinsi,2010 PDRBK_ADHK,2011 PDRBK_ADHK,2012 PDRBK_ADHK,2013 PDRBK_ADHK,2014 PDRBK_ADHK,2015 PDRBK_ADHK,2016 PDRBK_ADHK,2017 PDRBK_ADHK,2018 PDRBK_ADHK,2019 PDRBK_ADHK,2020 PDRBK_ADHK,2010 PDRBK_ADHB,2011 PDRBK_ADHB,2012 PDRBK_ADHB,2013 PDRBK_ADHB,2014 PDRBK_ADHB,2015 PDRBK_ADHB,2016 PDRBK_ADHB,2017 PDRBK_ADHB,2018 PDRBK_ADHB,2019 PDRBK_ADHB,2020 PDRBK_ADHB,2010 PDRB_ADHK,2011 PDRB_ADHK,2012 PDRB_ADHK,2013 PDRB_ADHK,2014 PDRB_ADHK,2015 PDRB_ADHK,2016 PDRB_ADHK,2017 PDRB_ADHK,2018 PDRB_ADHK,2019 PDRB_ADHK,2020 PDRB_ADHK,2010 PDRB_ADHB,2011 PDRB_ADHB,2012 PDRB_ADHB,2013 PDRB_ADHB,2014 PDRB_ADHB,2015 PDRB_ADHB,2016 PDRB_ADHB,2017 PDRB_ADHB,2018 PDRB_ADHB,2019 PDRB_ADHB,2020 PDRB_ADHB,2010 IPM,2011 IPM,2012 IPM,2013 IPM,2014 IPM,2015 IPM,2016 IPM,2017 IPM,2018 IPM,2019 IPM,2020 IPM,2010 Pengangguran,2011 Pengangguran,2012 Pengangguran,2013 Pengangguran,2014 Pengangguran,2015 Pengangguran,2016 Pengangguran,2017 Pengangguran,2018 Pengangguran,2019 Pengangguran,2020 Pengangguran,2010 Inflasi,2011 Inflasi,2012 Inflasi,2013 Inflasi,2014 Inflasi,2015 Inflasi,2016 Inflasi,2017 Inflasi,2018 Inflasi,2019 Inflasi,2020 Inflasi,2010 Kemiskinan,2011 Kemiskinan,2012 Kemiskinan,2013 Kemiskinan,2014 Kemiskinan,2015 Kemiskinan,2016 Kemiskinan,2017 Kemiskinan,2018 Kemiskinan,2019 Kemiskinan,2020 Kemiskinan,2010 Upah Minimum,2011 Upah Minimum,2012 Upah Minimum,2013 Upah Minimum,2014 Upah Minimum,2015 Upah Minimum,2016 Upah Minimum,2017 Upah Minimum,2018 Upah Minimum,2019 Upah Minimum,2020 Upah Minimum
Aceh,22450.14,22704.8,23099.13,23228.59,23129.04,22524.31,22835.29,23362.9,24013.79,24842.3,25018.28,22450.14,23428.63,24294.69,25218.83,26065.08,25808.45,26851.88,28096.71,29521.25,30879.06,31633.38,101545.24,104874.21,108914.9,111755.83,113490.36,112665.53,116374.3,121240.98,126824.37,132069.62,131580.97,101545.24,108217.63,114552.08,121331.13,127897.07,129092.66,136843.82,145806.92,155910.98,164162.98,166372.32,"71,70","72,16",67.81,68.3,68.81,69.45,70,70.6,71.19,71.9,"71,99",8.37,9,9.06,10.12,9.02,9.93,7.57,6.57,6.34,6.17,6.59,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"20,98","19,57","19,46","17,72",16.98,17.11,16.43,15.92,15.68,15.32,14.99,1300000,1350000,1400000,1550000,1750000,1900000,2118500,2500000,2700000,2916810,3165031
Sumatera Utara,25412.07,26711.24,28036.88,29339.21,30477.07,31637.41,32885.09,34183.58,35570.5,36853.59,36175.16,25412.07,28518.19,31109.35,34544.18,37913.9,41019.54,44392.46,48003.6,51427.49,54620.4,54979.04,331085.24,353147.59,375924.14,398727.14,419573.31,440955.85,463775.46,487531.23,512762.63,539513.85,533746.36,331085.24,377037.1,417120.44,469464.02,521954.95,571722.01,626062.91,684634.43,741347.43,799608.95,811188.31,"74,19","74,65",67.74,68.36,68.87,69.51,70,70.57,71.18,71.74,"71,77",7.43,8.18,6.28,6.45,6.23,6.71,5.84,5.6,5.55,5.39,6.91,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"11,31","11,33","10,67","10,39",9.85,10.79,10.27,9.28,8.94,8.83,8.75,965000,1035500,1200000,1375000,1505850,1625000,1811875,1961355,2132189,2303403,2499423
Sumatera Barat,21584.91,22638.75,23744.01,24857.64,25982.83,27080.76,28164.93,29312.17,30470.8,31427.29,30696.21,21584.91,24056.68,26286.16,28994.48,32141.09,34630.86,37284.56,40194.29,42802.66,44885.51,43825.66,105017.74,111679.49,118724.42,125940.63,133340.84,140719.47,148134.24,155984.36,163996.19,172205.57,169426.61,105017.74,118674.29,131435.65,146899.83,164944.26,179951.98,196099.18,213893.47,230367.22,245949.74,241894.13,"73,78","74,28",68.36,68.91,69.36,69.98,70.73,71.24,71.73,72.39,"72,38",6.95,8.02,6.65,7.02,6.5,6.89,5.09,5.58,5.66,5.38,6.88,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"9,50","9,04","8,19","7,56",6.89,6.71,7.14,6.75,6.55,6.42,6.28,940000,1055000,1150000,1350000,1490000,1615000,1800725,1949285,2119067,2289220,2484041
Riau,69701.03,71637.89,72396.34,72297.05,72390.88,70769.78,70569.36,70740.43,70736.77,72509.14,76884.74,69701.03,84811.19,94996.15,100691.44,109784.64,102887.81,104861.11,105844.77,110384.9,111227.01,114166.9,388578.23,410215.84,425626,436187.51,447986.78,448991.96,458769.34,470983.51,482064.63,495607.05,489995.75,388578.23,485649.34,558492.72,607498.45,679395.86,652761.63,681699.03,704705.03,752263.07,760247.51,727599.47,"76,07","76,53",69.15,69.91,70.33,70.84,71.2,71.79,72.44,73,"72,71",8.72,6.09,4.37,5.48,6.56,7.83,7.43,6.22,5.98,5.76,6.32,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"8,65","8,47","8,22","8,42",7.99,8.82,7.67,7.41,7.21,7.08,6.82,1016000,1120000,1238000,1400000,1700000,1878000,2095000,2266723,2464154,2662026,2888564
Jambi,29160.16,30856.66,32417.72,34012.1,35878.09,36753.52,37728.8,38833.87,40025.52,41812.35,41926.04,29160.16,32682.04,35657.57,39553.64,43300.3,45580.04,49494.98,53993.4,58224.89,60828.86,57957.73,90618.41,97740.87,104615.08,111766.13,119991.44,125037.4,130501.13,136501.71,142902,149111.09,148354.25,90618.41,103522.91,115070.4,129976.04,144814.42,155065.66,171199.47,189787.72,207878.69,216927.71,205081.99,"72,74","73,30",66.94,67.76,68.24,68.89,69.62,69.99,70.65,71.26,"71,29",5.39,4.63,3.2,4.76,5.08,4.34,4,3.87,3.73,4.06,5.13,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"8,34","8,65","8,42","8,42",8.39,9.12,8.37,7.9,7.85,7.6,7.58,900000,1028000,1142500,1300000,1502300,1710000,1906650,2063949,2243719,2423889,2630162
Sumatera Selatan,25932,27157.98,28577.89,29656.76,30636.27,31549.3,32699.5,34059.71,35659.82,37125.75,37323.24,25932,29830.37,32830.49,35810.16,38584.88,41201.28,43361.26,46315.05,50104.67,53359.1,53842.74,194012.97,206360.7,220459.2,232175.05,243297.77,254044.88,266857.4,281571.01,298484.07,315464.75,315129.22,194012.97,226666.93,253265.12,280348.46,306421.6,331765.7,353866.96,382885.7,419392.16,453402.71,454607.4,"72,95","73,42",65.79,66.16,66.75,67.46,68.24,68.86,69.39,70.02,"70,01",6.65,6.6,5.66,4.84,4.96,6.07,4.31,4.39,4.27,4.53,5.51,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"15,47","14,24","13,78","14,06",13.62,13.77,13.39,13.1,12.82,12.71,12.66,927825,1048440,1195220,1630000,1825000,1974346,2206000,2388000,2595995,2804453,3043111
Bengkulu,16463.68,17282.27,18143.51,18919.3,19626.72,20302.48,21039.84,21751.64,22494.84,23504.53,23105.92,16463.68,18368.8,20298.91,22358.05,24604.4,26845.61,29076.22,31359.48,33822.13,36565.29,36552.5,28352.57,30295.05,32363.04,34326.37,36207.15,38066.01,40076.54,42073.52,44164.11,46345.45,46338.43,28352.57,32199.71,36207.68,40565.49,45389.9,50334.02,55384.17,60657.68,66402.99,72098.24,73305.27,"72,92","73,40",66.61,67.5,68.06,68.59,69.33,69.95,70.64,71.21,"71,40",4.59,3.46,3.62,4.61,3.47,4.91,3.3,3.74,3.35,3.26,4.07,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"18,30","17,50","17,70","17,75",17.09,17.16,17.03,15.59,15.41,15.23,15.03,780000,815000,930000,1200000,1350000,1500000,1605000,1737413,1888741,2040407,2213604
Lampung,19722.39,20739.31,21794.83,22770.68,23647.27,24581.78,25568.57,26614.88,27736.26,28894.5,26746.64,19722.39,21981.47,23910.84,25768.94,28755.17,31153.72,34053.97,36998.32,39716.46,42172.32,39290.33,150560.84,160437.5,170769.21,180620.01,189797.49,199536.92,209793.73,220626.1,232165.99,244378.31,240319.59,150560.84,170046.79,187348.82,204402.64,230794.45,252883.1,279417.62,306700.43,332446.07,356676.83,353025.09,"71,42","71,94",64.87,65.73,66.42,66.95,67.65,68.25,69.02,69.57,"69,69",5.57,6.38,5.2,5.69,4.79,5.14,4.62,4.33,4.04,4.03,4.67,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"18,94","16,93","16,18","14,39",14.21,13.53,13.86,13.04,13.01,12.62,12.34,767500,855000,975000,1150000,1399037,1581000,1763000,1908448,2074673,2241270,2432002
Kepulauan Bangka Belitung,28906.78,30212.18,31172.42,32081.3,32859.64,33480.38,34132.87,34933.52,35762.04,37173.14,36307.61,28906.78,32465.38,35288.32,38314.56,41948.37,44425.08,46402.47,48827.25,50081.95,52232.8,52023.4,35561.9,38013.99,40104.91,42190.86,44159.44,45962.3,47848.37,49985.15,52208.04,53941.9,52705.94,35561.9,40849.04,45400.23,50388.36,56373.62,60987.32,65048.23,69865.21,73113.28,75794.96,75519.77,"72,86","73,37",67.21,67.92,68.27,69.05,69.55,69.99,70.67,71.3,"71,47",5.63,3.86,3.43,3.65,5.14,6.29,2.6,3.78,3.61,3.58,5.25,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"6,51","5,75","5,53","5,25",4.97,4.83,5.04,5.3,4.77,4.62,4.53,910000,1024000,1110000,1265000,1640000,2100000,2341500,2534674,2755444,2976706,3230024
Kepulauan Riau,65703.34,68024.21,70930,73743.33,76313.81,78625.43,80295.6,79743.68,81206.2,81138.52,85012.58,65703.34,72571.75,80240.25,87710.29,94335.33,101148.53,106503.78,109332.85,116461.4,119394.66,123464.79,111223.67,118961.42,128034.97,137263.85,146325.23,155131.35,162853.04,166081.68,173498.75,181877.67,174959.21,111223.67,126914.2,144840.79,163261.57,180879.98,199570.39,216007.66,227706.88,248822.23,267631.48,254095.35,"75,07","75,78",72.36,73.02,73.4,73.75,73.99,74.45,74.84,75.48,"75,59",6.9,5.38,5.08,5.63,6.69,6.2,7.69,7.16,8.04,7.5,10.34,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"8,05","7,40","7,11","6,35",6.40,5.78,5.84,6.13,5.83,5.9,5.92,925000,975000,1015000,1365087,1665000,1954000,2178710,2358454,2563875,2769754,3005460
DKI Jakarta,111528.86,117672.92,123962.38,130060.31,136312.34,142913.61,149831.9,157636.6,165768.99,174812.51,170089.02,111528.86,125533.82,138858.29,155153.92,174914.36,195431.68,210075.09,228002.73,247678.49,268052.25,262615.17,1075183.48,1147558.23,1222527.92,1296694.57,1373389.13,1454563.85,1539916.88,1635359.15,1735208.29,1836240.55,1792291.09,1075183.48,1224218.48,1369432.64,1546876.49,1762316.4,1989088.75,2159073.6,2365353.85,2592606.57,2815636.16,2767273.49,"77,60","77,97",77.53,78.08,78.39,78.99,79.6,80.06,80.47,80.76,"80,77",11.05,11.69,9.67,8.63,8.47,7.23,6.12,7.14,6.65,6.54,10.95,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"3,48","3,75","3,69","3,72",4.09,3.61,3.75,3.78,3.55,3.47,4.53,1118009,1290000,1529150,2200000,2441000,2700000,3100000,3355750,3648036,3940973,4276350
Jawa Barat,20974.94,21976.53,23036,24118.31,24966.86,25845.5,26923.51,27970.92,29160.06,30413.37,30180.54,20974.94,23251.17,25272.29,27767.25,30107.21,32648.02,34893.62,37223.11,40272.64,43309.19,43236.51,906685.76,965622.06,1028409.74,1093543.55,1149216.06,1207232.34,1275619.24,1343662.14,1419624.14,1490959.69,1453380.72,906685.76,1021628.6,1128245.68,1258989.33,1385825.08,1524974.83,1653238.4,1788117.36,1960627.65,2123153.71,2082107.26,"72,29","72,73",67.32,68.25,68.8,69.5,70.05,70.69,71.3,72.03,"72,09",10.33,9.96,9.08,9.16,8.45,8.72,8.89,8.22,8.23,8.04,10.46,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"11,27","10,65","10,09","9,61",9.18,9.57,8.77,7.83,7.25,6.91,7.88,671500,732000,780000,850000,1000000,1000000,2250000,1420624,1544361,1668373,1810351
Jawa Tengah,19209.31,20053.8,20950.62,21844.87,22819.16,23887.06,24959.49,26088.91,27285.25,28695.92,26483.68,19209.31,21162.83,22865.43,24952.13,27517.84,29933.75,31961.95,34234.31,36770.96,39388.15,36964.78,623224.62,656268.13,691343.12,726655.12,764959.15,806765.09,849099.35,893750.3,941091.14,991516.54,965227.27,623224.62,692561.63,754529.44,830016.02,922471.18,1010986.64,1087316.7,1172794.52,1268261.17,1360960.13,1347222.49,"72,49","72,94",67.21,68.02,68.78,69.49,69.98,70.52,71.12,71.73,"71,87",6.21,7.07,5.61,6.01,5.68,4.99,4.63,4.57,4.47,4.44,6.48,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"16,56","15,76","15,34","14,44",13.58,13.32,13.19,12.23,11.19,10.8,11.41,660000,675000,765000,830000,910000,910000,,1367000,1486065,1605396,1742015
DI Yogyakarta,18652.97,19387.45,20183.88,21037.7,21867.9,22688.36,23565.68,24533.8,25776.31,27008.68,27754.47,18652.97,20333.34,21744.88,23623.92,25526.4,27571.53,29552.53,31664.92,34136.93,36459.73,37693.64,64678.97,68049.87,71702.45,75627.45,79536.08,83474.45,87685.81,92300.24,98024.01,104485.46,101698.52,64678.97,71369.96,77247.86,84924.54,92842.48,101440.52,109962.35,119128.72,129818.36,141047.69,138117.84,"75,77","76,32",76.15,76.44,76.81,77.59,78.38,78.89,79.53,79.99,"79,97",5.69,4.39,3.9,3.24,3.33,4.07,2.72,3.02,3.37,3.18,4.57,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"16,83","16,08","16,05","15,03",14.55,13.16,13.10,12.36,11.81,11.7,12.28,745694,808000,892660,947114,988500,988500,,1337645,1454154,1570923,1704608
Jawa Timur,26371.1,27864.26,29508.4,31092.04,32703.39,34271.81,35970.78,37724.29,39579.95,41512.2,39686.19,26371.1,29613.05,32770.38,36037.18,39832.68,43541.4,47491.52,51228.45,55410.61,59015.17,56640.82,990648.84,1054401.77,1124464.64,1192789.8,1262684.5,1331376.1,1405563.51,1482299.58,1563441.82,1649895.64,1611392.55,990648.84,1120577.16,1248767.29,1382501.5,1537947.63,1691477.06,1855738.4,2012917.99,2188766.35,2345548.55,2299807.64,"71,62","72,18",66.74,67.55,68.14,68.95,69.74,70.27,70.77,71.5,"71,71",4.25,5.38,4.11,4.3,4.19,4.47,4.21,4,3.91,3.82,5.84,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"15,26","14,23","13,40","12,73",12.28,12.28,11.85,11.2,10.85,10.37,11.09,630000,705000,745000,866250,1000000,1000000,,1388000,1508895,1630059,1768777
Banten,25397.65,26548.94,27716.47,28910.66,29846.64,30813.03,31781.56,32947.6,34183.75,35913.9,37165.16,25397.65,27977.01,30202.44,32991.61,36629.18,40091.23,42439.73,45275.58,48370.15,52013.99,52729.4,271465.28,290545.84,310385.59,331099.11,349351.23,368377.2,387835.09,410137,433782.71,456620.03,441148.58,271465.28,306174.29,338224.93,377836.08,428740.07,479300.44,517898.34,563597.7,613804.41,661321.34,625895.38,"70,48","70,95",68.92,69.47,69.89,70.27,70.96,71.42,71.95,72.44,"72,45",13.68,13.74,9.94,9.54,9.07,9.55,8.92,9.28,8.47,8.11,10.64,6.96,3.79,4.3,8.38,8.36,3.35,3.02,3.61,3.13,2.72,1.68,"7,16","6,32","5,85","5,89",5.51,5.75,5.36,5.59,5.25,5.09,5.92,955300,1000000,1042000,1170000,1325000,1600000,1784000,1931180,2099385,2267990,2460997
